game,ply,side,san,uci,fen_before,depth,nodes,nps,engine_time_ms,wall_time_s,time_gap_ms,score_type,score_val,score_cp,pv,bookns,ttns,singns,evalns,probcutns,sf_best_move,sf_best_cp,sf_actual_cp,sf_cp_lost,sf_match,sf_mate_involved,sf_accuracy,sf_class
8,78,black,Rexc7,e7c7,2r5/1bP1rk2/p4b2/Np6/4p3/6P1/PPR2PP1/3R2K1 b - - 14 39,14,13168140,4389380,3000,3.0,0,cp,-41,-41,e7c7 c2c7 c8c7 a5b7 c7b7 d1d6 f6b2 d6a6 b2e5 g1f1 b7c7 f1e2,150,360260279,1011679628,171799807,5499087,c8c7,382,369,13,False,False,96.60907041473673,Excellent
8,79,white,Rxc7+,c2c7,2r5/1br2k2/p4b2/Np6/4p3/6P1/PPR2PP1/3R2K1 w - - 0 40,15,18470970,6156990,3000,3.0,0,cp,35,35,c2c7 c8c7 a5b7 c7b7 d1d2 f6e5 d2e2 b7d7 e2c2,150,638756072,1823229673,311744115,2592269,c2d2,-367,-363,-4,False,False,99.9999,Excellent
8,80,black,Rxc7,c8c7,2r5/1bR2k2/p4b2/Np6/4p3/6P1/PP3PP1/3R2K1 b - - 0 40,16,5682932,3615096,1572,3.0,1428,cp,-28,-28,c8c7 a5b7 c7b7 b2b3,130,182280489,416758088,82458810,18882,c8c7,376,363,13,True,False,96.56494326002691,Best
8,81,white,Nxb7,a5b7,8/1br2k2/p4b2/Np6/4p3/6P1/PP3PP1/3R2K1 w - - 0 41,17,28459020,10229698,2782,3.002,220,cp,35,35,a5b7 c7b7 d1d2 f6e5 d2e2 b7d7 e2c2 d7d1 g1h2 f7f6,130,1060745788,3043610247,505983292,680611,a5b7,-382,-388,6,True,False,98.45360353696026,Best
8,82,black,Rxb7,c7b7,8/1Nr2k2/p4b2/1p6/4p3/6P1/PP3PP1/3R2K1 b - - 0 41,17,15304499,6811080,2247,3.001,754,cp,-8,-8,c7b7 d1e1 f6b2 e1e2 b2f6 e2e4 b7e7 e4e7 f6e7,40,572430587,1312508671,258923255,4630981,c7b7,384,398,-14,True,False,99.9999,Best
8,83,white,Rd2,d1d2,8/1r3k2/p4b2/1p6/4p3/6P1/PP3PP1/3R2K1 w - - 0 42,16,36730744,13459415,2729,3.002,273,cp,2,2,d1d2 b7c7 g1h2,50,1324583953,3369025913,598009922,53785,d1d2,-391,-397,6,True,False,98.48457233111533,Best
8,84,black,Ke6,f7e6,8/1r3k2/p4b2/1p6/4p3/6P1/PP1R1PP1/6K1 b - - 1 42,15,43493542,14493016,3001,3.001,0,cp,0,0,f7e6 d2c2 e6d5 c2d2 f6d4 b2b3 b7c7 g1h2 c7h7 h2g1,40,1625397521,3567609528,710954390,312169,f7e6,395,382,13,True,False,96.7045089249655,Best
8,85,white,Kf1,g1f1,8/1r6/p3kb2/1p6/4p3/6P1/PP1R1PP1/6K1 w - - 2 43,16,27254434,9084811,3000,3.001,1,cp,0,0,g1f1 b7c7 f1g1 c7c1 g1h2 e6f5 d2d5 f5e6,60,995111811,2169716921,427307594,317286,f2f3,-407,-419,12,False,False,97.11953030641261,Excellent
8,86,black,Ra7,b7a7,8/1r6/p3kb2/1p6/4p3/6P1/PP1R1PP1/5K2 b - - 3 43,15,50830951,16943650,3000,3.001,1,cp,0,0,b7a7 d2c2 e6d5 b2b3 a7h7 f1g1 f6d4 c2e2 h7b7,40,1903726436,4402810189,828934656,1028810,b7c7,421,339,82,False,False,80.56332520242651,Good
8,87,white,Rc2,d2c2,8/r7/p3kb2/1p6/4p3/6P1/PP1R1PP1/5K2 w - - 4 44,14,12203992,7247026,1684,3.001,1317,cp,1,1,d2c2 e6d5 f1e2 a7h7 b2b3 h7h1 g3g4 f6d4 g2g3,130,415046305,979741338,176606402,162232,f1e2,-344,-400,56,False,False,86.06750012897898,Good
8,88,black,Kd5,e6d5,8/r7/p3kb2/1p6/4p3/6P1/PPR2PP1/5K2 b - - 5 44,14,26466892,8822297,3000,3.0,0,cp,0,0,e6d5 b2b3 a7h7 f1g1 f6d4 c2e2,130,939013525,2135028348,403363481,385864,f6d4,396,403,-7,False,False,99.9999,Excellent
8,89,white,b3,b2b3,8/r7/p4b2/1p1k4/4p3/6P1/PPR2PP1/5K2 w - - 6 45,16,34422214,11470247,3001,3.001,0,cp,0,0,b2b3 a7h7 f1g1 f6d4 c2e2 d5e5 e2e1 h7c7,40,1188960618,2606437299,499689307,700147,f1e2,-406,-409,3,False,False,99.26271538868009,Excellent
8,90,black,Bd4,f6d4,8/r7/p4b2/1p1k4/4p3/1P4P1/P1R2PP1/5K2 b - - 0 45,15,37760435,12586811,3000,3.0,0,cp,0,0,f6d4 c2c8 a7f7 c8d8 d5c5 d8c8 c5d6 c8d8,120,1342661017,3076848083,579490467,312918,f6d4,421,446,-25,True,False,99.9999,Best
8,91,white,Rc8,c2c8,8/r7/p7/1p1k4/3bp3/1P4P1/P1R2PP1/5K2 w - - 1 46,16,25608755,9245037,2770,3.001,231,cp,0,0,c2c8 a7h7 c8d8 d5c5 f1e2 h7h2 d8e8 c5d5 e2f1 h2h1,40,867038988,2095706532,365958295,139713,f1e2,-451,-457,6,False,False,98.68674294476843,Excellent
8,92,black,Rf7,a7f7,2R5/r7/p7/1p1k4/3bp3/1P4P1/P4PP1/5K2 b - - 2 46,15,43401413,14462316,3001,3.001,0,cp,48,48,a7f7 c8c2 f7h7 f1e2,140,1532935847,3811253941,627040168,236581,a7h7,467,453,14,False,False,97.00683363980282,Excellent
8,93,white,Rc2,c8c2,2R5/5r2/p7/1p1k4/3bp3/1P4P1/P4PP1/5K2 w - - 3 47,16,17991495,7932757,2268,3.001,733,cp,0,0,c8c2 f7a7,70,641460601,1704947755,283241051,723497,c8c2,-460,-470,10,True,False,97.87993614918058,Best
